name,alias,type,id,notes
eagle shield,,shield,234,"Greatshield with an eagle design. Lightest and easiest greatshield to handle. Greatshields are very stable, and deflect attacks. But one cannot parry, and instead bashes with the shield."
tower shield,,shield,235,"Metal greatshield. Used by Knight Berenike, known for his heavy armor. This thick plate of iron is heavily defensive but ultra heavy. Greatshields are very stable, and deflect attacks. However, one cannot parry, and instead bashes with the shield."
giant shield,,shield,236,"Greatshield made of bronze and marcasite. Used by giant sentinels of Anor Londo. Marcasite, or white iron, is effective against non-physical damage, but as the shield is designed for the giant sentinels, its weight is unbearable."
stone greatshield,,shield,237,"Mossy round greatshield used by the guardian of the Darkroot Garden, the Stone Knight. The Stone Knight is a creation of ancient magic, and this shield is imbued with the same power, but is also extremely heavy."
havel's greatshield,,shield,238,"Greatshield of the legendary Havel the Rock. Cut straight from a great slab of stone. This greatshield is imbued with the magic of Havel, provides strong defense, and is incredibly heavy. A true divine heirloom on par with the Dragon Tooth."
bonewheel shield,,shield,239,"Giant wooden wheel encircled by spikes. Half-melded to a strange skeleton. Can be used as a greatshield, only for the great gaps. But at least the spikes turn into weapons with a good spin. Strange indeed!"
greatshield of artorias,,shield,240,"Shield born from the soul of the great grey wolf Sif, guardian of the grave of the Abysswalker Knight Artorias. Boasts consistent defense and divine protection against various status effects."
whip,,whip,241,"Leather whip. Not intended for battle. Virtually ineffective against armor and tough scales, but quite formidable against enemies with exposed skin."
notched whip,,whip,242,"Whip with sharp spikes. Only slightly effective against armor and tough scales, but quite formidable against enemies with exposed skin. Also causes heavy bleeding."
standard arrow,,arrow,243,Standard arrow. Arrows must be equipped to be fired.
large arrow,,arrow,244,"Large arrow. Heavier arrows cause more damage, but have a shorter range."
feather arrow,,arrow,245,Red feather arrows of the Lord's hunters. Their long range makes them effective for sniping.
fire arrow,,arrow,246,Arrows fired with flaming tips. Inflicts fire damage.
poison arrow,,arrow,247,"Arrow with point dipped in poison. Ensures the demise of prey in a hunt, or the target in an assassination. Once an enemy is poisoned, one need only wait."
moonlight arrow,moonlight arrows,arrow,248,"Arrow granted to those bound by Covenant to the Dark Sun Gwyndolin, Lord Gwyn's lastborn. Moonlight Arrows glow silver, and inflict magic damage.; Special ammunition compatible with the Darkmoon Bow."
wooden arrow,,arrow,249,"Standard arrow. These arrows do not fly particularly far, nor do they inflict a terrible amount of damage, but their cheap cost makes them useful when volume is required."
dragonslayer arrow,dragonslayer arrows,arrow,250,"Giant dragon-hunting arrows, resembling iron spears. Used by Hawkeye Gough and his Dragonslayers, they puncture human flesh easily. Dragonslayer Arrows can only be used with the Dragonslayer Greatbow, and vice-versa."
gough's great arrow,,arrow,251,"Great arrow used by Hawkeye Gough, one of Lord Gwyn's Four Knights, for dragon slaying. Requires Greatbow. Gough personally crafts each stone tip, and wraps the shaft tightly with tree bark."
standard bolt,,bolt,252,Standard crossbow bolt. Used mainly with the Light Crossbow. Equip crossbow with a bolt to fire.
heavy bolt,,bolt,253,"Large bolt. Used mainly with the Heavy Crossbow. These weighty bolts inflict high damage, but have reduced range."
sniper bolt,,bolt,254,Red feather bolts used with the Sniper Crossbow. Their long range makes them effective for sniping.
wood bolt,,bolt,255,"Basic wood bolt. These bolts do not fly particularly far, nor do they inflict a terrible amount of damage, but their cheap cost makes them useful when volume is required."
lightning bolt,,bolt,256,"Special bolts imbued with lightning, crafted by the giant blacksmith of Anor Londo. The giant blacksmith has never seen a crossbow, but remembers the specifications of the bolts requested by ancient warriors."
effigy shield,,shield,257,"Frightful occult shield. Defends against divine weapons and lightning. In an ill-fated plot to destroy the very gods, the followers of the occult once attempted to steal the power of Gravelord Nito, the first of the dead."
sanctus,,shield,258,"A legendary weapon of the Way of White, granted to an Undead paladin long ago. Once blessed with the protection of a white flame, but its power has all but faded, so that it provides only slight HP recovery."
bloodshield,,shield,259,"The bloodshield spoken of in the lost legends. The red of blood is slightly enchanted, and boosts various resistances."
black iron greatshield,,shield,260,Greatshield of the mighty knight Tarkus. Built of special black iron and even heavier than Knight Berenike's tower shield. Especially resistant to fire attacks and effective for shield bashing.
gold tracer,,curved sword,261,"Curved sword used by the Lord's Blade Ciaran, one of Lord Gwyn's Four Knights. Ciaran brandishes her sword in a mesmerizing dance, etching the darkness with dire streaks of gold."
dark silver tracer,,dagger,262,"A dark silver dagger used by the Lord's Blade Ciaran, of Gwyn's Four Knights. The victim is first distracted by dazzling streaks of the Gold Tracer, then stung by the vicious poison of this dagger."
abyss greatsword,,greatsword,263,"This greatsword belonged to Lord Gwyn's Knight Artorias, who fell to the Abyss. Swallowed by the Dark with its master, this sword is tainted by the Abyss, and now its strength reflects its wielder's humanity."
cleansing greatshield,,shield,264,"The steel greatshield used by Knight Artorias, who succumbed to the Abyss. Artorias, deeply scarred by the Abyss, used this to form a barrier to protect his compatriot Sif. Although this drained the shield, its magic defense remains high."
stone greataxe,,greataxe,265,"Greataxe borne by the stone knights who guard the forest Sanctuary. This greataxe, requiring inhuman strength to wield and more fitted to manual labor than battle, is nevertheless completely lethal."
four-pronged plow,,axe,266,"Four-pronged Plow wielded by the wooden scarecrows, serfs of the forest Sanctuary. The scarecrow serfs would not normally use these four-pronged plows as weapons, but their sharpness makes them very deadly."
manus catalyst,,catalyst,267,"A sorcery catalyst born from the soul of Manus, Father of the Abyss. A rough, old wooden catalyst large enough to be used as a strike weapon. Similar to the Tin Crystallization Catalyst, it boosts the strength of sorceries, but limits the number of castings."
oolacile catalyst,,catalyst,268,"Everyday Oolacile sorcery catalyst formed by several enchanted branches. Boosts sorcery adjustment, but lost land sorceries are not offensive, and attacks are not boosted by intelligence."
guardian tail,,tail weapon,269,"Sliced tail of the Sanctuary Guardian. This flexible, spiked, and highly poisonous tail would make a rather obnoxious weapon."
obsidian greatsword,,greatsword,270,"Formed from the tail of the black dragon Kalameet, releasing mystical power when two-handed."
gough's greatbow,,greatbow,271,"A large bow once used by Gough to hunt dragons; later given to the player.; Used by Hawkeye Gough for dragon slaying, larger than standard Dragonslayer bows."
catarina helm,,armor,272,"Distinctively shaped, often mocked for its onion-like design, but masterfully forged for parrying."
catarina armor,,armor,273,"Matches the helm; curved design for effective parrying, iconic of Catarina knights."
catarina gauntlets,,armor,274,"Part of the Catarina set, mocked but defensively effective."
catarina leggings,,armor,275,"Leg portion of the Catarina knight set, same onion-like aesthetic and parrying ability."
paladin helm,,armor,276,Helm of Leeroy of the Way of White; tied to relics Grant and Sanctus.
paladin armor,,armor,277,Golden armor worn by Paladin Leeroy on his divine mission.
paladin gauntlets,,armor,278,"Part of Leeroy's set, worn during the first Undead mission of the Way of White."
paladin leggings,,armor,279,"Completes Leeroy's paladin set, symbolic of divine questing."
dark mask,,armor,280,"Mask of the Darkwraiths, partially fused with their faces."
dark armor,,armor,281,Transformed armor symbolizing Darkwraiths and their Lifedrain art.
dark gauntlets,,armor,282,"Same as armor, part of the transformed set wielded by Darkwraiths."
dark leggings,,armor,283,Leg portion of the Lifedrain Darkwraith set.
brigand hood,,armor,284,Protects mountain brigands from harsh climates and assists identification in battle.
brigand armor,,armor,285,"Offers mobility and decent defense, made of leather and metal."
brigand gauntlets,,armor,286,"Same construction as Brigand Armor, suited for ambushes."
brigand trousers,,armor,287,Lower piece of brigand attire offering stealth and flexibility.
shadow mask,,armor,288,"Eastern mask for spies, sacrificing defense for agility and resistance."
shadow garb,,armor,289,"Black cloth armor for martial artists, emphasizing mobility."
shadow gauntlets,,armor,290,"Minimal defense, ideal for poison/bleed resistance and espionage."
shadow leggings,,armor,291,"Mobility-focused, lightweight gear for silent operatives."
black iron helm,,armor,292,"Helm of Tarkus, fire-resistant but very heavy."
black iron armor,,armor,293,"Main torso of Tarkus’s black iron set, nearly unwieldy to others."
black iron gauntlets,,armor,294,"Fire-resistant gloves of Tarkus, extremely heavy."
black iron leggings,,armor,295,Completes the heavy armor set of the legendary Tarkus.
smough's helm,,armor,296,"Part of Smough’s executioner set, extremely high defense."
smough's armor,,armor,297,"Massive armor used by Smough, difficult for humans to wear."
smough's gauntlets,,armor,298,Heavy gloves belonging to Smough’s defense set.
smough's leggings,,armor,299,Heavy lower armor worn by Smough in Anor Londo.
six-eyed helm of the channelers,,armor,300,Compensates for Seath’s blindness; heaviest helm for magic users.
robe of the channelers,,armor,301,Robes worn by the Channelers who abducted test subjects for Seath.
gauntlets of the channelers,,armor,302,Magic-infused gloves from the Channelers' abduction attire.
waistcloth of the channelers,,armor,303,"Lower armor of Seath’s servants, thick and enchanted."
helm of favor,,armor,304,"Lautrec’s helm, symbol of his devotion to goddess Fina."
embraced armor of favor,,armor,305,Embracing motif from Fina’s arms on Lautrec’s golden armor.
gauntlets of favor,,armor,306,"Worn by Lautrec, symbolizing abandonment in love’s name."
leggings of favor,,armor,307,"Final piece of Lautrec’s set, bonded to Fina’s love."
helm of the wise,,armor,308,"Zena helm with symbolic horns, worn by merchant Domhnall."
armor of the glorious,,armor,309,"Decorated armor of Domhnall, from Zena, covered in medals."
gauntlets of the vanquisher,,gauntlets,310,"Strange gauntlets from the ancient land of Zena, birthplace of the curious dealer Domhnall. The gold bracelets symbolize a vanquisher."
boots of the explorer,,leggings,311,"Strange boots from the ancient land of Zena, birthplace of the curious dealer Domhnall. The inlaid silver rings symbolize an explorer."
stone helm,,helm,312,"Moss-covered helm of the Stone Knight, defender of the Darkroot Garden. The Stone Knight is a product of ancient magic, and although this helm is also imbued with magic, it is incredibly heavy."
stone armor,,armor,313,"Moss-covered armor of the Stone Knight, defender of the Darkroot Garden. The Stone Knight is a product of ancient magic, and although this armor is also imbued with magic, it is incredibly heavy."
stone gauntlets,,gauntlets,314,"Moss-covered gauntlets of the Stone Knight, defender of the Darkroot Garden. The Stone Knight is a product of ancient magic, and although these gauntlets are also imbued with magic, they are incredibly heavy."
stone leggings,,leggings,315,"Moss-covered leggings of the Stone Knight, defender of the Darkroot Garden. The Stone Knight is a product of ancient magic, and although these leggings are also imbued with magic, they are incredibly heavy."
crystalline helm,,helm,316,"Crystallized Helm worn by a Hollowed knight, who was partially crystallized. The power of the crystal grants high defense."
crystalline armor,,armor,317,"Crystallized armor worn by a Hollowed knight, who was partially crystallized. The power of the crystal grants high defense."
crystalline gauntlets,,gauntlets,318,"Crystallized gauntlets worn by a Hollowed knight, who was partially crystallized. The power of the crystal grants high defense."
crystalline leggings,,leggings,319,"Crystallized leggings worn by a Hollowed knight, who was partially crystallized. The power of the crystal grants high defense."
mask of the sealer,,helm,320,"Mask of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark. It symbolizes their resolve to keep the seal shut forever and their atonement for all who were sacrificed."
crimson robe,,armor,321,"Robe of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark. The Sealers were once known as healers, and the bright crimson was a symbol of that."
crimson gloves,,gauntlets,322,"Gloves of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark. The Sealers were once known as healers, and the bright crimson was a symbol of that."
crimson waistcloth,,leggings,323,"Waistcloth of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark. The Sealers were once known as healers, and the bright crimson was a symbol of that."
mask of velka,,helm,324,"Mask worn by pardoners serving Velka, the Goddess of Sin. The pardoners listen to the confessions of sinners, urging reflection and salvation. Their masks symbolize separation from worldly desires."
black cleric robe,,armor,325,"Robe worn by pardoners serving Velka, the Goddess of Sin. The pardoners' attire is uniformly black and imbued with Velka's mystical power, providing resistance against magic."
black manchette,,gauntlets,326,"Manchette worn by pardoners serving Velka, the Goddess of Sin. The attire is imbued with Velka's mystical power, providing resistance against all manner of magic."
black tights,,leggings,327,"Tights worn by pardoners serving Velka, the Goddess of Sin. The attire is imbued with Velka's mystical power, providing resistance against all manner of magic."
iron helm,,helm,328,"Helm of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers."
armor of the sun,,armor,329,"Armor of Solaire of Astora, Knight of Sunlight. The large holy symbol of the Sun, while powerless, was painted by Solaire himself."
iron bracelet,,gauntlets,330,"Bracelets of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers."
iron leggings,,leggings,331,"Leggings of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers."
chain helm,,helm,332,Chainmail helm made of thin steel rings. Common and offers good defense.
chain armor,,armor,333,Chainmail armor made of thin steel rings. Common and offers good defense.
leather gauntlets,,gauntlets,334,Gauntlets made of soft leather. A common type of protective gear.
chain leggings,,leggings,335,Chainmail leggings made of thin steel rings. Common and offers good defense.
cleric helm,,helm,336,Helm worn by warrior clerics of the Way of White. Substantial in size and weight.
cleric armor,,armor,337,Armor worn by warrior clerics of the Way of White. Substantial in size and weight.
cleric gauntlets,,gauntlets,338,Gauntlets worn by warrior clerics of the Way of White. Substantial in size and weight.
cleric leggings,,leggings,339,Leggings worn by warrior clerics of the Way of White. Substantial in size and weight.
sunlight maggot,,helm,340,"Immobile parasite that emits blinding light when worn on the head. Lives in Lost Izalith.; A parasite from Lost Izalith. When worn on the head, it emanates blinding light."
helm of thorns,,helm,341,"Helm of Kirk, Knight of Thorns. Covered in thorns that damage enemies when rolling."
armor of thorns,,armor,342,"Armor of Kirk, Knight of Thorns. Covered in thorns that damage enemies when rolling."
gauntlets of thorns,,gauntlets,343,"Gauntlets of Kirk, Knight of Thorns. Covered in thorns that damage enemies when rolling."
leggings of thorns,,leggings,344,"Leggings of Kirk, Knight of Thorns. Covered in thorns that damage enemies when rolling."
standard helm,,helm,345,A sturdy iron helm. Very common and provides good defense.
hard leather armor,,armor,346,Armor made of thick leather. Very common and provides good defense.
hard leather gauntlets,,gauntlets,347,Gauntlets made of thick leather. Very common and provides good defense.
hard leather boots,,leggings,348,Boots made of thick leather. Very common and provides good defense.
sorcerer hat,,helm,349,Hat worn by proper sorcerers who studied at Vinheim Dragon School. Represents formal academic attire.
sorcerer cloak,,armor,350,Cloak worn by proper sorcerers who studied at Vinheim Dragon School. Enforces formal dress code.
sorcerer gauntlets,,gauntlets,351,Gauntlets of Vinheim-trained sorcerers. Reflects their academic pride.
sorcerer boots,,boots,352,Boots worn by Vinheim sorcerers. Symbolize adherence to academy's code.
tattered cloth hood,,helm,353,Hood of Great Swamp pyromancers. Appears worn but grants natural resistance.
tattered cloth robe,,armor,354,Protective robe of Great Swamp pyromancers. Good resistance to natural elements.
tattered cloth manchette,,gauntlets,355,Manchette of Great Swamp pyromancers. Resistant to poison and fire.
heavy boots,,boots,356,Thick leather boots worn by pyromancers. Durable for treacherous terrain.
pharis's hat,,helm,357,"Hat of Pharis the archer hero. Revered and symbolic, even among children."
leather armor,,armor,358,Soft leather armor. Common and lightweight protection.
leather gloves,,gauntlets,359,Soft leather gloves offering basic protection.
leather boots,,boots,360,Basic boots made of soft leather.
painting guardian hood,,helm,361,Magic-resistant hood of the Painting Guardians of Anor Londo.
painting guardian robe,,armor,362,Robe of Painting Guardians. Passed down through generations.
painting guardian gloves,,gauntlets,363,"Gloves offering magic protection, worn by guardians of Ariamis paintings."
painting guardian waistcloth,,leggings,364,Waistcloth of the Painting Guardians. Magical protection garment.
ornstein's helm,,helm,365,"Golden lion helm of Dragonslayer Ornstein, imbued with lightning resistance."
ornstein's armor,,armor,366,Golden armor of Dragonslayer Ornstein. Provides lightning defense.
ornstein's gauntlets,,gauntlets,367,Gauntlets of Ornstein. Infused with lightning protection.
ornstein's leggings,,leggings,368,Leggings of Ornstein. Defensive gear with lightning properties.
eastern helm,,helm,369,Helm from Eastern lands. Excels in defense against slashing.
eastern armor,,armor,370,"Exquisitely crafted Eastern armor, suited for slash-heavy combat."
eastern gauntlets,,gauntlets,371,Well-crafted gauntlets from the East. Good slash resistance.
eastern leggings,,leggings,372,"Leggings from an Eastern land. High-quality, slash-resistant."
xanthous crown,,helm,373,Oversized yellow crown of the exiled Xanthous King Jeremiah.
xanthous overcoat,,armor,374,Bright yellow coat worn by the Xanthous King. Odd yet soft.
xanthous gloves,,gauntlets,375,Yellow gloves linked to the exiled Xanthous King Jeremiah.
xanthous waistcloth,,leggings,376,Tattered waistcloth worn by the legendary Xanthous King.
thief mask,,helm,377,Light mask worn by thieves to obscure identity.
black leather armor,,armor,378,Smooth black leather armor. Excellent for stealth operations.
black leather gloves,,gauntlets,379,Gloves of smooth black leather. Silently suited for stealth.
black leather boots,,boots,380,"Quiet, durable boots for shadowy figures."
priest's hat,,helm,381,Symbolic headwear of Way of White priests from Thorolund.
holy robe,,armor,382,Plain robe of Way of White clerics. Used for spiritual journeys.
traveling gloves,,armor,383,Durable gloves made for long-distance travel.; Ordinary gloves used by Logan.
holy trousers,,leggings,384,Trousers for Way of White clerics. Functional and resistant.
black knight helm,,helm,385,Helmet of Gwyn's Black Knights. Burned by the first flame.
black knight armor,,armor,386,"Armor of the Black Knights. Followers of Lord Gwyn, now spirits."
black knight gauntlets,,gauntlets,387,Gauntlets of the Black Knights. Once burned in the Flame.
black knight leggings,,leggings,388,Leggings of the spectral Black Knights of Lordran.
crown of dusk,,helm,389,Magic-enhancing crown of Princess Dusk of Oolacile. Increases both magic power and vulnerability.
antiquated dress,,armor,390,A dress from Oolacile imbued with ancient magic. Offers no physical protection.
antiquated gloves,,armor,391,Gloves from Oolacile imbued with ancient magic. No battle utility.
antiquated skirt,,armor,392,Skirt from Oolacile imbued with ancient magic. No protection.
witch hat,,armor,393,Hat of rogue witch Beatrice. She braved the Abyss and did not return.
witch cloak,,armor,394,"Cloak of Beatrice, an independent magic user outside Dragon School."
witch gloves,,armor,395,"Gloves of Beatrice, an unconventional magic user."
witch skirt,,armor,396,"Skirt of Beatrice, the rogue Abyss-explorer."
elite knight helm,,armor,397,Helm of an elite Astora knight who perished and went Hollow.
elite knight armor,,armor,398,Armor of a knight of Astora. Features fire-warding symbol.
elite knight gauntlets,,armor,399,Gauntlets of a knight who died during his Undead mission.
elite knight leggings,,armor,400,Leggings of a knight of Astora who went Hollow.
wanderer hood,,armor,401,Hood of a leather-clad aimless traveler.
wanderer coat,,armor,402,Leather coat of a traveler. Offers moderate protection.
wanderer manchette,,armor,403,Leather manchettes for long journeys.
wanderer boots,,armor,404,Traveler’s boots for long-distance trekking.
big hat,,armor,405,"Hat worn by Logan, the antisocial great sorcerer."
sage robe,,armor,406,Logan’s worn robe from his days at Dragon School.
traveling gloves,,armor,407,Ordinary gloves used by Logan.
traveling boots,,armor,408,Common traveling boots worn by Logan.
knight helm,,armor,409,Basic helm with grooved reinforcement.
knight armor,,armor,410,Simple armor with grooved structure.
knight gauntlets,,armor,411,Grooved gauntlets offering extra protection.
knight leggings,,armor,412,Basic knight leggings with grooved texture.
dingy hood,,armor,413,Charred white hood worn by Firelink Shrine’s Fire Keeper.
dingy robe,,armor,414,"Formerly white robe of Firelink Fire Keeper, now blackened."
dingy gloves,,armor,415,Darkened gloves worn by Fire Keeper.
blood-stained skirt,,armor,416,"Possibly maimed Fire Keeper’s skirt, stained with blood."
maiden hood,,armor,417,Soft white formal hood worn by traveling maidens.
maiden robe,,armor,418,"Formal white robe, not battle-suited."
maiden gloves,,armor,419,Soft ceremonial gloves worn by maidens.
maiden skirt,,armor,420,White skirt as part of ceremonial attire.
silver knight helm,,armor,421,Worn by knights who remained in Anor Londo.
silver knight armor,,armor,422,Worn by Gwyn’s knights who served his goddess.
silver knight gauntlets,,armor,423,Gauntlets of Anor Londo’s Silver Knights.
silver knight leggings,,armor,424,Leggings of Silver Knights remaining after Gwyn left.
havel's helm,,armor,425,Heavy stone helm worn by Havel’s warriors.
havel's armor,,armor,426,"Stone armor offering massive defense, worn by Havel’s men."
havel's gauntlets,,armor,427,Stone gauntlets for unmatched defense.
havel's leggings,,armor,428,Stone leggings worn by the unyielding Havel’s warriors.
brass helm,,armor,429,"Helm of the Darkmoon Knightess, conceals her form."
brass armor,,armor,430,Worn by the Darkmoon Knightess. Grants concealment and authority to hunt the guilty in the name of the Dark Sun.
brass gauntlets,,gauntlets,431,Part of the Darkmoon Knightess set. Symbolic of her duty as Fire Keeper of Anor Londo.
brass leggings,,leggings,432,Completes the armor of the Darkmoon Knightess. Embodies secrecy and divine purpose.
gold-hemmed black hood,,helmet,433,Hood of Quelana of Izalith. Provides high resistance to fire and poison.
gold-hemmed black cloak,,armor,434,Worn by Quelana. Reinforces fire and chaos heritage.
gold-hemmed black gloves,,gloves,435,"Part of Quelana’s garb, worn before the Age of Fire."
gold-hemmed black skirt,,leggings,436,Legwear of Quelana. High elemental resistance set.
golem helm,,helmet,437,"Iron Golem's helm. Extremely heavy, reduces stamina recovery."
golem armor,,armor,438,Torso of Iron Golem. Provides extreme protection but hinders movement.
golem gauntlets,,gauntlets,439,Gauntlets from the Iron Golem’s set. Increases weight load significantly.
golem leggings,,leggings,440,Heavy lower armor of the Iron Golem. Best suited for high endurance builds.
hollow soldier helm,,helmet,441,Basic iron helm. Offers minimal protection but better than none.
hollow soldier armor,,armor,442,Sturdy but worn armor used by Hollow soldiers.
hollow soldier waistcloth,,leggings,443,Barely functional waistcloth. Common Hollow soldier wear.
steel helm,,helmet,444,Heavy helm used by Berenike Knights. Sturdy and formidable.
steel armor,,armor,445,Chestplate of the Berenike Knights. Offers high physical defense.
steel gauntlets,,gauntlets,446,Gauntlets from the Steel Set. Part of Berenike's heavy armaments.
steel leggings,,leggings,447,Leg protection of the Berenike Knights. Heavy and durable.
hollow thief's hood,,helmet,448,Stealth-based hood worn by Hollow thieves.
hollow thief's leather armor,,armor,449,Armor meant for silence and evasion. Worn by Hollow thieves.
hollow thief's tights,,leggings,450,Soft leggings optimized for stealth.
balder helm,,helmet,451,Heavy helm from the fallen kingdom of Balder.
balder armor,,armor,452,Sturdy armor from Balder. Thick plating suited for defense.
balder gauntlets,,gauntlets,453,Gauntlets from the Balder set. Symbol of noble resistance.
balder leggings,,leggings,454,Legwear from Balder’s knights. Endures punishment from battle.
hollow warrior helm,,helmet,455,Iron helm of a Hollow warrior. Damaged but functional.
hollow warrior armor,,armor,456,Worn leather armor of a Hollow warrior.
hollow warrior waistcloth,,leggings,457,Waistcloth barely offering protection. Hollow warrior gear.
giant helm,,helmet,458,Massive helm worn by Giant sentinels. Offers strong elemental defense.
giant armor,,armor,459,Chestplate of Giant sentinels. Ancient brass plate impedes stamina.
giant gauntlets,,gauntlets,460,Gauntlets of Giant sentinels. Provide great coverage but heavy.
giant leggings,,leggings,461,Massive leg guards from the Giant set.
crown of the dark sun,,helmet,462,Crown of Gwyndolin. Boosts magic; symbolizes devotion to the Sun.
moonlight robe,,armor,463,Magic robe of Gwyndolin. Elegant but weak in physical defense.
moonlight gloves,,gloves,464,Silken gloves of Gwyndolin. Part of ceremonial wear.
moonlight waistcloth,,leggings,465,"Silken waistcloth of Gwyndolin. Meant for elegance, not battle."
crown of the great lord,,helmet,466,"Gwyn’s crown. Symbolic of his kingship, power now faded."
robe of the great lord,,armor,467,"Robe of Gwyn, Lord of Cinder. Lacks power but keeps status."
bracelet of the great lord,,gauntlets,468,Bracelets once worn by Gwyn. More ceremonial than functional.
anklet of the great lord,,leggings,469,"Anklets of Gwyn, part of his symbolic post-Flame regalia."
sack,,helmet,470,"Bloodstained sack worn by the man-eating Undead cook. Nearly useless for defense, but comfortable."
symbol of avarice,,helmet,471,"Mimic headgear. Raises soul absorption and item discovery, but curses the wearer."
royal helm,,helmet,472,"Helm of blacksmith Vamos. Partially gold, provides high resistance."
mask of the father,,helmet,473,One of Pinwheel’s masks. Raises equipment load.
mask of the mother,,helmet,474,One of Pinwheel’s masks. Raises HP.
mask of the child,,helmet,475,One of Pinwheel’s masks. Raises stamina recovery.
fang boar helm,,helmet,476,"Head of the armored boar, taken as trophy. Surprisingly solid defense."
gargoyle helm,,helmet,477,Bronze helm from gargoyle. Little defensive value.
black sorcerer hat,,helmet,478,Worn by secret Vinheim sorcerers. Associated with sound-based spells.
black sorcerer cloak,,armor,479,Worn by secret Vinheim sorcerers. For stealth casting.
black sorcerer gauntlets,,gauntlets,480,Worn by secret Vinheim sorcerers.
black sorcerer boots,,leggings,481,Worn by secret Vinheim sorcerers.
helm of artorias,,helmet,482,Helm of Artorias the Abysswalker. Shows signs of the Abyss’ corrosion.
armor of artorias,,armor,483,Armor of Artorias. Corroded by the Abyss.
gauntlets of artorias,,gauntlets,484,Gauntlets of Artorias. Damaged by the Abyss.
leggings of artorias,,leggings,485,Leggings of Artorias. Compromised by the Abyss.
porcelain mask,,helmet,486,"Mask of Ciaran, Lord’s Blade. Lined with ivory hair."
lord's blade robe,,armor,487,"Robe of Ciaran, one of Gwyn’s Four Knights."
lord's blade gloves,,gauntlets,488,"Gloves of Ciaran, designed for stealth."
lord's blade waistcloth,,leggings,489,"Waistcloth of Ciaran, agile and decorative."
gough's helm,,helmet,490,Helm of Hawkeye Gough. Eye holes packed with resin.
gough's armor,,armor,491,Dragonslayer armor of Gough. Honors bestowed by Gwyn.
gough's gauntlets,,gauntlets,492,"Heavy gauntlets, similar to Silver Knights’."
gough's leggings,,leggings,493,Heavy greaves from Hawkeye Gough.
guardian helm,,helmet,494,Stone knight helm. Magic-animated and very heavy.
guardian armor,,armor,495,Stone knight armor. Enchanted and heavy.
guardian gauntlets,,gauntlets,496,Stone knight gauntlets. Oppressively heavy.
guardian leggings,,leggings,497,Stone knight leggings. Animated by magic.
snickering top hat,,helmet,498,Hat of Marvellous Chester. Exudes sarcasm.
chester's long coat,,armor,499,Aristocratic coat for stealth. Worn by Chester.
chester's gloves,,gauntlets,500,Plain but high-quality gloves of Chester.
chester's trousers,,leggings,501,Decorative leather pants with bolt straps.
bloated head,,helmet,502,Twisted headgear from Abyss-corrupted Oolacile.
bloated sorcerer head,,helmet,503,Twisted sorcerer variant. Slightly enchanted.
havel's ring,,ring,504,Increases max equip load. Tribute to Havel the Rock.
red tearstone ring,,ring,505,Boosts attack when HP is low.
darkmoon blade covenant ring,,ring,506,Allows summoning by Gwyndolin.
cat covenant ring,,ring,507,Allows summoning by Alvina.
cloranthy ring,,ring,508,Boosts stamina regen.
flame stoneplate ring,,ring,509,Increases fire resistance.
thunder stoneplate ring,,ring,510,"Stoneplate ring symbolizing thunder, boosts lightning defense."
spell stoneplate ring,,ring,511,"Stoneplate ring symbolizing souls, boosts magic defense."
speckled stoneplate ring,,ring,512,"Rare stoneplate grants small boost to magic, fire, and lightning defense."
bloodbite ring,,ring,513,"Bite ring from Carim, helps prevent bleeding."
poisonbite ring,,ring,514,"Bite ring from Carim, helps prevent poison."
tiny being's ring,,ring,515,"Ring with ancient red jewel, slightly increases HP."
cursebite ring,,ring,516,"Bite ring from Carim, helps prevent curses."
white seance ring,,ring,517,"Divine ring of Way of White, grants extra attunement slots."
bellowing dragoncrest ring,,ring,518,"Ring from Vinheim Dragon School, boosts sorcery strength."
dusk crown ring,,ring,519,"Ring of Princess Dusk, grants more magic but halves HP."
hornet ring,,ring,520,"Ring of Lord's Blade Ciaran, boosts critical attacks."
hawk ring,,ring,521,"Ring of Hawkeye Gough, increases bow range."
ring of steel protection,,ring,522,"Ring of Knight King Rendal, boosts physical defense."
covetous gold serpent ring,,ring,523,"Gold ring with serpent, boosts item discovery."
covetous silver serpent ring,,ring,524,"Silver ring with serpent, grants more souls per kill."
slumbering dragoncrest ring,,ring,525,Vinheim ring masks all sound from wearer.
ring of fog,,ring,526,"Ring from Alvina, camouflages wearer."
rusted iron ring,,ring,527,Rusted ring helps with footing on bad ground.
ring of sacrifice,,ring,528,"Velka's ring, wearer loses nothing on death, breaks after."
rare ring of sacrifice,,ring,529,"Rare Velka ring, nullifies curse and death loss, breaks after."
dark wood grain ring,,ring,530,Eastern ring alters rolling action.
ring of the sun princess,,ring,531,"Covenant ring with Gwynevere, boosts miracle synergy."
old witch's ring,,ring,532,"Old ring with indecipherable script, seemingly useless."
