id,Nome,Description
1167,Notched Whip,"Whip with sharp spikes. Only slightly effective against armor and tough scales, but quite formidable against enemies with exposed skin. Also causes heavy bleeding."
1168,Standard Arrow,Standard arrow. Arrows must be equipped to be fired.
1169,Large Arrow,"Large arrow. Heavier arrows cause more damage, but have a shorter range."
1170,Feather Arrow,Red feather arrows of the Lord's hunters. Their long range makes them effective for sniping.
1171,Fire Arrow,Arrows fired with flaming tips. Inflicts fire damage.
1172,Poison Arrow,"Arrow with point dipped in poison. Ensures the demise of prey in a hunt, or the target in an assassination. Once an enemy is poisoned, one need only wait."
1173,Moonlight Arrow,"Arrow granted to those bound by Covenant to the Dark Sun Gwyndolin, Lord Gwyn's lastborn. Moonlight Arrows glow silver, and inflict magic damage."
1174,Wooden Arrow,"Standard arrow. These arrows do not fly particularly far, nor do they inflict a terrible amount of damage, but their cheap cost makes them useful when volume is required."
1175,Dragonslayer Arrow,"Giant dragon-hunting arrows, resembling iron spears. Used by Hawkeye Gough and his Dragonslayers, they puncture human flesh easily. Dragonslayer Arrows can only be used with the Dragonslayer Greatbow, and vice-versa. "
1176,Gough's Great Arrow,"Great arrow used by Hawkeye Gough, one of Lord Gwyn's Four Knights, for dragon slaying. Requires Greatbow. Gough personally crafts each stone tip, and wraps the shaft tightly with tree bark."
1177,Standard Bolt,Standard crossbow bolt. Used mainly with the Light Crossbow. Equip crossbow with a bolt to fire.
1178,Heavy Bolt,"Large bolt. Used mainly with the Heavy Crossbow. These weighty bolts inflict high damage, but have reduced range."
1179,Sniper Bolt,Red feather bolts used with the Sniper Crossbow. Their long range makes them effective for sniping.
1180,Wood Bolt,"Basic wood bolt. These bolts do not fly particularly far, nor do they inflict a terrible amount of damage, but their cheap cost makes them useful when volume is required."
1181,Lightning Bolt,"Special bolts imbued with lightning, crafted by the giant blacksmith of Anor Londo. The giant blacksmith has never seen a crossbow, but remembers the specifications of the bolts requested by ancient warriors."
1182,Effigy Shield,"Frightful occult shield. Defends against divine weapons and lightning. In an ill-fated plot to destroy the very gods, the followers of the occult once attempted to steal the power of Gravelord Nito, the first of the dead."
1183,Sanctus,"A legendary weapon of the Way of White, granted to an Undead paladin long ago. Once blessed with the protection of a white flame, but its power has all but faded, so that it provides only slight HP recovery."
1184,Bloodshield,"The bloodshield spoken of in the lost legends. The red of blood is slightly enchanted, and boosts various resistances."
1185,Black Iron Greatshield,Greatshield of the mighty knight Tarkus. Built of special black iron and even heavier than Knight Berenike's tower shield. Especially resistant to fire attacks and effective for shield bashing.
1186,Gold Tracer,"Curved sword used by the Lord's Blade Ciaran, one of Lord Gwyn's Four Knights. Ciaran brandishes her sword in a mesmerizing dance, etching the darkness with dire streaks of gold."
1187,Dark Silver Tracer,"A dark silver dagger used by the Lord's Blade Ciaran, of Gwyn's Four Knights. The victim is first distracted by dazzling streaks of the Gold Tracer, then stung by the vicious poison of this dagger."
1188,Abyss Greatsword,"This greatsword belonged to Lord Gwyn's Knight Artorias, who fell to the Abyss. Swallowed by the Dark with its master, this sword is tainted by the Abyss, and now its strength reflects its wielder's humanity."
1189,Cleansing Greatshield,"The steel greatshield used by Knight Artorias, who succumbed to the Abyss. Artorias, deeply scarred by the Abyss, used this to form a barrier to protect his compatriot Sif. Although this drained the shield, its magic defense remains high."
1190,Stone Greataxe,"Greataxe borne by the stone knights who guard the forest Sanctuary. This greataxe, requiring inhuman strength to wield and more fitted to manual labor than battle, is nevertheless completely lethal."
1191,Four-pronged Plow,"Four-pronged Plow wielded by the wooden scarecrows, serfs of the forest Sanctuary. The scarecrow serfs would not normally use these four-pronged plows as weapons, but their sharpness makes them very deadly."
1192,Manus Catalyst,"A sorcery catalyst born from the soul of Manus, Father of the Abyss. A rough, old wooden catalyst large enough to be used as a strike weapon. Similar to the Tin Crystallization Catalyst, it boosts the strength of sorceries, but limits the number of castings."
1193,Oolacile Catalyst,"Everyday Oolacile sorcery catalyst formed by several enchanted branches. Boosts sorcery adjustment, but lost land sorceries are not offensive, and attacks are not boosted by intelligence."
1194,Guardian Tail,"Sliced tail of the Sanctuary Guardian. This flexible, spiked, and highly poisonous tail would make a rather obnoxious weapon."
1195,Obsidian Greatsword,"This greatsword, one of the rare dragon weapons, is formed by the tail of the one-eyed black dragon Kalameet, the last of the ancient dragons. The mystical power of its obsidian blade will be released when held with both hands."
1196,Gough's Greatbow,"Greatbow used by Hawkeye Gough, of Lord Gwyn's Four Knights, for dragon slaying. This bow is larger than even those used by the famed Dragonslayers. Only their leader, Gough, had the strength to handle it."
2000,Catarina Helm,"Distinctively shaped helm worn by the Knights of Catarina.  Outside Catarina, it is often ridiculed for its onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
2001,Catarina Armor,"Distinctively shaped armor worn by the Knights of Catarina.  Outside Catarina, it is often ridiculed for its onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
2002,Catarina Gauntlets,"Distinctively shaped gauntlets worn by the Knights of Catarina.  Outside Catarina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
2003,Catarina Leggings,"Distinctively shaped leggings worn by the Knights of Catarina.  Outside Catarina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
2004,Paladin Helm,"Helm of Leeroy, Paladin of the Catacombs.  Long ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
2005,Paladin Armor,"Armor of Leeroy, Paladin of the Catacombs.  Long ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
2006,Paladin Gauntlets,"Gauntlets of Leeroy, Paladin of the Catacombs.  Long ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
2007,Paladin Leggings,"Leggings of Leeroy, Paladin of the Catacombs.  Long ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
2008,Dark Mask,"Mask of the Darkwraiths, former knights of New Londo who descended into Dark.  Some say the skeletal mask of an ancient Darkwraith is partially fused with the flesh of its face."
2009,Dark Armor,"Armor of the Darkwraiths, former knights of New Londo who descended into Dark.  Their armor transformed, and remains a symbol of the Dark servants and their diabolical art of Lifedrain."
2010,Dark Gauntlets,"Gauntlets of the Darkwraiths, former knights of New Londo who descended into Dark.  Their gauntlets transformed, and remain symbol of the Dark servants and their diabolical art of Lifedrain."
2011,Dark Leggings,"Leggings of the Darkwraiths, former knights of New Londo who descended into Dark.  Their leggings transformed, and remain a symbol of the Dark servants and their diabolical art of Lifedrain."
2012,Brigand Hood,"Hood worn by the brigands who raid mountain hamlets and attack travelers.  In addition to protecting against the blazing sun, dust, and sand, it helps them tell friend from foe in the heat of battle."
2013,Brigand Armor,Armor worn by the brigands who raid mountain hamlets and attack travelers.  The addition of metal over a base of cloth and leather offers good mobility and defense.
2014,Brigand Gauntlets,Gauntlets worn by the brigands who raid mountain hamlets and attack travelers.  The addition of metal over a base of cloth and leather offers good mobility and defense.
2015,Brigand Trousers,Trousers worn by the brigands who raid mountain hamlets and attack travelers.  The addition of metal over a base of cloth and leather offers good mobility and defense.
2016,Shadow Mask,"Black cloth mask worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.  While it sacrifices defense for the sake of greater mobility, it does offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage."
2017,Shadow Garb,"Black cloth garb worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.  While it sacrifices defense for the sake of greater mobility, it does offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage."
2018,Shadow Gauntlets,"Black cloth gauntlets worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.  While they sacrifice defense for the sake of greater mobility, they do offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage."
2019,Shadow Leggings,"Black cloth leggings worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.  While they sacrifice defense for the sake of greater mobility, they do offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage."
2020,Black Iron Helm,"Helm of Black Iron Tarkus, a knight known for his great strength.  Built of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself."
2021,Black Iron Armor,"Armor of Black Iron Tarkus, a knight known for his great strength.  Built of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself."
2022,Black Iron Gauntlets,"Gauntlets of Black Iron Tarkus, a knight known for his great strength.  Built of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself."
2023,Black Iron Leggings,"Leggings of Black Iron Tarkus, a knight known for his great strength.  Built of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself."
2024,Smough's Helm,"Helm of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty."
2025,Smough's Armor,"Armor of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty."
2026,Smough's Gauntlets,"Gauntlets of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty."
2027,Smough's Leggings,"Leggings of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty."
2028,Six-Eyed Helm of the Channelers,"Helm of the Channelers, sorcerers that serve Seath the Scaleless. The six eyes arranged in two vertical columns compensate for Seath's lack of sight.  The heaviest of protective gear for sorcerers, and imbued with magic."
2029,Robe of the Channelers,"Robe of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the ""snatchers,"" as they were often called, ventured to far lands to find suitable human specimens.  The heaviest of protective gear for sorcerers, and imbued with magic."
2030,Gauntlets of the Channelers,"Gauntlets of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the ""snatchers,"" as they were often called, ventured to far lands to find suitable human specimens.  The heaviest of protective gear for sorcerers, and imbued with magic."
2031,Waistcloth of the Channelers,"Waistcloth of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the ""snatchers,"" as they were often called, ventured to far lands to find suitable human specimens.  The heaviest of protective gear for sorcerers, and imbued with magic."
2032,Helm of Favor,"Helm of Lautrec the Embraced, representing the goddess Fina's love.  During his solitude, he forsook everything, for he believed in the goddess's love for him."
2033,Embraced Armor of Favor,"Armor of Lautrec the Embraced, representing the goddess Fina's love.  The goddess's arms wrap around it, as if to embrace the wearer."
2034,Gauntlets of Favor,"Gauntlets of Lautrec the Embraced, representing the goddess Fina's love.  During his solitude, he forsook everything, for he believed in the goddess's love for him."
2035,Leggings of Favor,"Leggings of Lautrec the Embraced, representing the goddess Fina's love.  During his solitude, he forsook everything, for he believed in the goddess's love for him."
2036,Helm of the Wise,"A strange helm from the ancient land of Zena, birthplace of the curious dealer Domhnall.  The two horns are believed to symbolize wisdom."
2037,Armor of the Glorious,"Strange armor from the ancient land of Zena, birthplace of the curious dealer Domhnall.  The many medals are believed to symbolize glory."
2038,Gauntlets of the Vanquisher,"Strange gauntlets from the ancient land of Zena, birthplace of the curious dealer Domhnall.  The gold bracelets symbolize a vanquisher."
2039,Boots of the Explorer,"Strange boots from the ancient land of Zena, birthplace of the curious dealer Domhnall.  The inlaid silver rings symbolize an explorer."
2040,Stone Helm,"Moss-covered helm of the Stone Knight, defender of the Darkroot Garden.  The Stone Knight is a product of ancient magic, and although this helm is also imbued with magic, it is incredibly heavy."
2041,Stone Armor,"Moss-covered armor of the Stone Knight, defender of the Darkroot Garden.  The Stone Knight is a product of ancient magic, and although this armor is also imbued with magic, it is incredibly heavy."
2042,Stone Gauntlets,"Moss-covered gauntlets of the Stone Knight, defender of the Darkroot Garden.  The Stone Knight is a product of ancient magic, and although these gauntlets are also imbued with magic, they are incredibly heavy."
2043,Stone Leggings,"Moss-covered leggings of the Stone Knight, defender of the Darkroot Garden.  The Stone Knight is a product of ancient magic, and although these leggings are also imbued with magic, they are incredibly heavy."
2044,Crystalline Helm,"Crystallized Helm worn by a Hollowed knight, who was partially crystallized.  The power of the crystal grants high defense."
2045,Crystalline Armor,"Crystallized armor worn by a Hollowed knight, who was partially crystallized.  The power of the crystal grants high defense."
2046,Crystalline Gauntlets,"Crystallized gauntlets worn by a Hollowed knight, who was partially crystallized.  The power of the crystal grants high defense."
2047,Crystalline Leggings,"Crystallized leggings worn by a Hollowed knight, who was partially crystallized.  The power of the crystal grants high defense."
2048,Mask of the Sealer,"Mask of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark.  It symbolizes their resolve to keep the seal shut forever and their atonement for all who were sacrificed, but two of the three forsook New Londo upon tiring of their duty."
2049,Crimson Robe,"Robe of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark.  The Sealers were once known as healers, and the bright crimson was a symbol of that."
2050,Crimson Gloves,"Gloves of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark.  The Sealers were once known as healers, and the bright crimson was a symbol of that."
2051,Crimson Waistcloth,"Waistcloth of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark.  The Sealers were once known as healers, and the bright crimson was a symbol of that."
2052,Mask of Velka,"Mask worn by pardoners serving Velka, the Goddess of Sin.  The pardoners listen to the confessions of sinners, urging reflection and salvation. Their masks symbolize separation from worldly desires."
2053,Black Cleric Robe,"Robe worn by pardoners serving Velka, the Goddess of Sin.  The pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic."
2054,Black Manchette,"Manchette worn by pardoners serving Velka, the Goddess of Sin.  The pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic."
2055,Black Tights,"Tights worn by pardoners serving Velka, the Goddess of Sin.  The pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic."
2056,Iron Helm,"Helm of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers.  Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits."
2057,Armor of the Sun,"Armor of Solaire of Astora, Knight of Sunlight. The large holy symbol of the Sun, while powerless, was painted by Solaire himself.  Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits."
2058,Iron Bracelet,"Bracelets of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers.  Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits."
2059,Iron Leggings,"Leggings of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers.  Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits."
2060,Chain Helm,"A chainmail helm of thin interlinking rings of steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defense.  Knights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive."
2061,Chain Armor,"Chainmail armor of thin interlinking rings of steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defense.  Knights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive."
2062,Leather Gauntlets,Gauntlets made of soft leather. One of the more common kinds of protective gear.
2063,Chain Leggings,"Chainmail leggings of thin interlinking rings of steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defense.  Knights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive."
2064,Cleric Helm,"Helm worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.  It is rather substantial in size and weight, making its wearer look even bigger than he actually is."
2065,Cleric Armor,"Armor worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.  It is rather substantial in size and weight, making its wearer look even bigger than he actually is."
2066,Cleric Gauntlets,"Gauntlets worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.  They are rather substantial in size and weight, making its wearer look even bigger than he actually is."
2067,Cleric Leggings,"Leggings worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.  They are rather substantial in size and weight, making its wearer look even bigger than he actually is."
2068,Sunlight Maggot,"A loathsome parasite that inhabits Lost Izalith. It is completely immobile, yet still lives.  When worn on the head, it emanates blinding light, which is why it is known as a Sunlight Maggot."
2069,Helm of Thorns,"Helm of Kirk, Knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from its surface.  It is a fitting item for the murderous Kirk, for by simply wearing it and rolling, one can damage enemies."
2070,Armor of Thorns,"Armor of Kirk, Knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from its surface.  It is a fitting item for the murderous Kirk, for by simply wearing it and rolling, one can damage enemies."
2071,Gauntlets of Thorns,"Gauntlets of Kirk, Knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from their surface.  They are fitting items for the murderous Kirk, for by simply wearing them and rolling, one can damage enemies."
2072,Leggings of Thorns,"Leggings of Kirk, Knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from their surface.  They are fitting items for the murderous Kirk, for by simply wearing them and rolling, one can damage enemies."
2073,Standard Helm,"A sturdy helm made of iron. Very common type of protective gear, it provides a sound level of defense.  It is wise to wear a sturdy form of head protection against arrows and other physical threats."
2074,Hard Leather Armor,"Armor made of thick leather. Very common type of protective gear, it provides a sound level of defense."
2075,Hard Leather Gauntlets,"Gauntlets made of thick leather. Very common type of protective gear, they provide a sound level of defense."
2076,Hard Leather Boots,"Boots made of thick leather. Very common type of protective gear, they provide a sound level of defense."
2077,Sorcerer Hat,Hat worn by proper sorcerers who studied at Vinheim Dragon School.  The majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.
2078,Sorcerer Cloak,Cloak worn by proper sorcerers who studied at Vinheim Dragon School.  The majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.
2079,Sorcerer Gauntlets,Gauntlets worn by proper sorcerers who studied at Vinheim Dragon School.  The majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.
2080,Sorcerer Boots,Boots worn by proper sorcerers who studied at Vinheim Dragon School.  The majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.
2081,Tattered Cloth Hood,"Hood worn by pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong.  Their attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven."
2082,Tattered Cloth Robe,"Robe worn by pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong.  Their attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven."
2083,Tattered Cloth Manchette,"Manchette worn by pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong.  Their attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven."
2084,Heavy Boots,"Boots made of thick leather. The boots of the pyromancers are incredibly tough, on account of the rugged grasslands and treacherous swamps they must traverse. Their soles are nearly impenetrable."
2085,Pharis's Hat,"Broad-brimmed hat favored by the archer hero Pharis.  Pharis was an accomplished archer, and though he was human, he ranked alongside Hawkeye Gough, one of the Four Knights of Lord Gwyn. His hat is universally popular among children."
2086,Leather Armor,Armor made of soft leather. Very common type of protective gear.
2087,Leather Gloves,Gloves made of soft leather. Very common type of protective gear.
2088,Leather Boots,Boots made of soft leather. Very common type of protective gear.
2089,Painting Guardian Hood,"Hood worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offers substantial protection versus magic.  They have guarded the Great Paintings of Ariamis for ages, passing their duty down through the generations, but the reason for doing so passed from all memory long ago."
2090,Painting Guardian Robe,"Robe worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offers substantial protection versus magic.  They have guarded the Great Paintings of Ariamis for ages, passing their duty down through the generations, but the reason for doing so passed from all memory long ago."
2091,Painting Guardian Gloves,"Gloves worn by the alabaster-clothed  guardians of the paintings in Anor Londo. Offer substantial protection versus magic.  They have guarded the Great Paintings of Ariamis for ages, passing their duty down through the generations, but the reason for doing so passed from all memory long ago."
2092,Painting Guardian Waistcloth,"Waistcloth worn by the alabaster-clothed  guardians of the paintings in Anor Londo. Offers substantial protection versus magic.  They have guarded the Great Paintings of Ariamis for ages, passing their duty down through the generations, but the reason for doing so passed from all memory long ago."
2093,Ornstein's Helm,"Helm of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.  Ornstein is believed to be the captain of the Four Knights. His golden lion helm is imbued with the power of lightning and should provide good protection against it."
2094,Ornstein's Armor,"Armor of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.  Ornstein is believed to be the captain of the Four Knights. His golden lion armor is imbued with the power of lightning and should provide good protection against it."
2095,Ornstein's Gauntlets,"Gauntlets of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.  Ornstein is believed to be the captain of the Four Knights. His golden lion gauntlets are imbued with the power of lightning and should provide good protection against it."
2096,Ornstein's Leggings,"Leggings of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.  Ornstein is believed to be the captain of the Four Knights. His golden lion leggings are imbued with the power of lightning and should provide good protection against it."
2097,Eastern Helm,"A distinctive helm made in an Eastern land.  Exquisitely crafted, this helm offers excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East."
2098,Eastern Armor,"Distinctive armor made in an Eastern Land.  Exquisitely crafted, this armor offers excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East."
2099,Eastern Gauntlets,"Distinctive gauntlets made in an Eastern land.  Exquisitely crafted, these gauntlets offer excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East."
2100,Eastern Leggings,"Distinctive leggings made in an Eastern land.  Exquisitely crafted, these leggings offer excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East."
2101,Xanthous Crown,"A mysterious item once worn by the Xanthous  King Jeremiah, the legendary exile. No one knows where it came from.  The crown bears high-quality cloth which is quite soft to the touch, but its bright yellow color stings the eyes, and it is clearly far too big."
2102,Xanthous Overcoat,"A mysterious item once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from.  It may be tattered, but its bright yellow color still stings the eyes."
2103,Xanthous Gloves,"Mysterious items once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where they came from.  They may be tattered, but their bright yellow color still stings the eyes."
2104,Xanthous Waistcloth,"A mysterious item once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from.  It may be tattered, but its bright yellow color still stings the eyes."
2105,Thief Mask,"Mask of sinners. They hide their faces, stifle their voices and hide in the shadows. It does not provide much in the way of defense."
2106,Black Leather Armor,"This armor made of smooth black leather is extremely quiet, a good thing for those who hide in the shadows.  The leather itself is thick, offering a decent level of protection."
2107,Black Leather Gloves,"These gloves made of smooth black leather are extremely quiet, good for those who hide in the shadows.  The leather itself is thick, offering a decent level of protection."
2108,Black Leather Boots,"These boots made of smooth black leather are extremely quiet, good for those who hide in the shadows.  The leather itself is thick, offering a decent level of protection."
2109,Priest's Hat,Distinctive hat worn only by Way of White priests in Thorolund.  It is simply meant to show their position within the hierarchy. It holds almost no meaning in the land of Lordran.
2110,Holy Robe,"Robe donned by men of the cloth. Though plain to the eye, its hardy fabric repels rain and keeps the body warm.  Those dissatisfied with church teachings must test their faith by going on a spiritual journey. Such is the ritual self-purification of the Way of White."
2111,Traveling Gloves,"Thick, sturdy gloves made for travelers on extended journeys."
2112,Holy Trousers,"Trousers donned by men of the cloth. Though plain to the eye, their hardy fabric repels rain and keeps the body warm.  Those dissatisfied with church teachings must test their faith by going on a spiritual journey. Such is the ritual self-purification of the Way of White."
2113,Black Knight Helm,"Helm of the Black Knights who haunt Lordran.  The knights followed Lord Gwyn when he departed to link the Fire but they were burned to ashes in the newly kindled flame, wandering the world as disembodied spirits ever after."
2114,Black Knight Armor,"Armor of the Black Knights who haunt Lordran.  The knights followed Lord Gwyn when he departed to link the Fire, but they were burned to ashes in the newly kindled flame, wandering the world as disembodied spirits ever after."
2115,Black Knight Gauntlets,"Gauntlets of the Black Knights who haunt Lordran.  The knights pursued Lord Gwyn when he departed to link the Fire, but they were burned to ashes in the newly kindled flame, wandering the world as disembodied spirits ever after."
2116,Black Knight Leggings,"Leggings of the Black Knights who haunt Lordran.  The knights followed Lord Gwyn when he departed to link the flame, but they were burned to ashes in the newly kindled fire, wandering the world as disembodied spirits ever after."
2117,Crown of Dusk,"Special magic crown bestowed upon Dusk, Princess of Oolacile, upon her birth.  Its wearer is blessed by all manner of magic. This raises the power and effect of the wearer's magic, but damage suffered by magic attacks also rises."
2118,Antiquated Dress,"A dress from the ancient fallen land of Oolacile. Its ivory-colored silk features elaborate embroidery and is imbued with ancient magic power.  One cannot expect any physical protection from this garment, as it was not meant to be worn in battle."
2119,Antiquated Gloves,"Gloves from the ancient fallen land of Oolacile. Their ivory-colored silk features elaborate embroidery and are imbued with ancient magic power.  One cannot expect any physical protection from these, as they were not meant to be worn in battle."
2120,Antiquated Skirt,"A skirt from the ancient fallen land of Oolacile. Its ivory-colored silk features elaborate embroidery and is imbued with ancient magic power.  One cannot expect any physical protection from this garment, as it was not meant to be worn in battle."
2121,Witch Hat,"Hat of the rogue witch Beatrice.  Almost all magic users that employ a wand studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal."
2122,Witch Cloak,"Cloak of the rogue witch Beatrice.  Almost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal."
2123,Witch Gloves,"Gloves of the rogue witch Beatrice.  Almost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal."
2124,Witch Skirt,"Skirt of the rogue witch Beatrice.  Almost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal."
2125,Elite Knight Helm,"Helm of a nameless knight, perhaps an elite knight of Astora.  Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow."
2126,Elite Knight Armor,"Armor of a nameless knight, perhaps an elite knight of Astora, based on the fire-warding heraldic symbol on its blue surcoat.  Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow."
2127,Elite Knight Gauntlets,"Gauntlets of a nameless knight, perhaps an elite knight of Astora.  Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow."
2128,Elite Knight Leggings,"Leggings of a nameless knight, perhaps an elite knight of Astora.  Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow."
2129,Wanderer Hood,"Hood of an aimless traveler. Made from sturdy leather, it offers protection versus wind and rain."
2130,Wanderer Coat,"Coat of an aimless traveler. Made from sturdy leather and quilting.  Battle comes with the territory when one wanders the land, and this coat provides a certain degree of protection."
2131,Wanderer Manchette,Manchette of an aimless traveler.  Made from sturdy leather and protects the hands.
2132,Wanderer Boots,Boots of an aimless traveler.  Made from sturdy leather. A must-have for long journeys.
2133,Big Hat,"Gigantic hat worn by the great sorcerer Logan. It completely hid his face, which led to his nickname ""Big Hat.""  Famously antisocial, Logan used it to block out noise and people's stares so he could focus on his own thoughts, but it does not possess any special magic powers."
2134,Sage Robe,"Robe worn by Big Hat Logan. It is said to have been from his apprentice days at Dragon School, but it is so worn out, no one knows what it originally looked like.  Logan, who cared little for his appearance, no doubt ever bothered to change out of it."
2135,Traveling Gloves,Gloves worn by Big Hat Logan. They are indistinguishable from the ordinary kind worn by travelers.
2136,Traveling Boots,Boots worn by Big Hat Logan. They are indistinguishable from the ordinary kind worn by travelers.
