id,NPC,Action,Dialog
90013,Elizabeth,Talk-After defeating Manus,"I have awaited thee. Thou hast rescued Princess Dusk, ...and rid us of that terrible primeval human. Even halting the spread of the Abyss! I salute the grandeur of thine enterprise. Please, allow me to express my gratitude. I thank thee... as do we all."
90014,Elizabeth,"Menu-Choose ""Talk"" after defeating Manus","I will remember thee, but I will keep thy story to myself. This is the best way, for thou art come from a time far ahead. No-one will sing thy praises, but yet thy greatness shall live on. For it shall be my purpose, to remember all thou hast done for us."
90015,Elizabeth,"Menu-Choose ""Leave""",May the flames guide thee.
90016,Elizabeth,Upon being attacked-1st time,Ah!
90017,Elizabeth,Upon being attacked-2nd time,Ooh!
90018,Elizabeth,Upon being attacked-3rd time,Aaah!
90019,Elizabeth,Upon being attacked-4th time,Stop that!
90020,Elizabeth,Upon being attacked-5th time,"Please, no!"
90021,Elizabeth,Upon being attacked-6th time,Stop!
90022,Elizabeth,Upon dying,"Aiieeek! Aiieeegh! Ooh...aah... But, why... Why... Dear Dusk..."
100001,Fortressknight,Talk-1st time,"... Ah, what? What? Who are you? Ahh, another Undead, eh? I took on Sen's Fortress alone... But I'm no different from those vile creatures... I was driven by conceit... Ahh, you think you're different? That you can handle it? Yes, I remember that feeling. For I was the same. ...So, let me help you out. With your soul-searching."
100002,Fortressknight,Talk-2nd time,"... Hm, ah, oh you? Still alive? That's a surprise. Anything you want? What's mine is yours, but at a price!"
100003,Fortressknight,Talk-3rd time,"... Hm...Oh, yes, it's you. What is it? Still something you need, eh, anything at all?"
100004,Fortressknight,"Menu-Choose ""Talk"" 1st time","There's nothing more to say. I'm finished. We're both on the brink, you see? End of story. You bloody fool."
100005,Fortressknight,"Menu-Choose ""Talk"" 2nd time","Let me give you a nibble of advice. Don't even consider visiting Anor Londo. Not in your state. For a century, they have tried, and failed. The Knight King Rendal, Black Iron Tarkus, and even Logan himself. You won't stand a chance. You'll be eaten alive. But, go along, if you wish. If only to deepen your despair!"
100006,Fortressknight,"Menu-Choose ""Talk"" 3rd time",Where do I get all my things? Stripped off the corpses of fools like yourself. It isn't easy. I have to catch them just before they go Hollow. Don't worry. I'll be there to claim your trinkets. Gazing at your final twisted grimace! Gee hee hee hee hee!
100007,Fortressknight,"Menu-Choose ""Leave"" 1st time without purchasing something","Nothing at all? Fine then, rush in like a naked babe, and be skinned alive!"
100008,Fortressknight,"Menu-Choose ""Leave"" 2nd time without purchasing something","So, you're that good? Don't need a thing? Bah. It won't be long, before you're begging for mercy."
100009,Fortressknight,"Menu-Choose ""Leave"" 1st time after purchasing something","Go along, try and make something of yourself. But nothing will come of it. And I should know!"
100010,Fortressknight,"Menu-Choose ""Leave"" 2nd time after purchasing something","There you go, another brave soul. But soon you shall see...You and I are no different... Yes, yes, you soon shall see... ...the putrid fate we both share..."
100011,Fortressknight,After leaving abruptly,...Hmm?
100012,Fortressknight,Talk-After leaving abruptly,"...Hm, fine, fine. I understand. I have my head about me."
100013,Fortressknight,Upon being attacked-1st time,Hrgro!
100014,Fortressknight,Upon being attacked-2nd time,Hrgrah!
100015,Fortressknight,Upon being attacked-3rd time,Hrgroah!
100016,Fortressknight,Upon being attacked-4th time,Hrgaw!
100017,Fortressknight,Upon being attacked & made hostile,What the devil's got into you! Hrrgrrrroooggh! You hrggraaaghh!
100018,Fortressknight,Upon dying,Hrrggahh... Ahhh...help me...
110001,Frampt,After approaching the location he sleeps after ringing 1st Bell of Awakening,Hmgg...Hmgg...
110002,Frampt,Talk-1st time,"Ahh, hello. Was it you who rang the Bell of Awakening? I am the primordial serpent, Kingseeker Frampt, close friend of the Great Lord Gwyn. Chosen Undead, who has rung the Bell of Awakening. I wish to elucidate your fate, Do you seek such enlightenment?"
110003,Frampt,"Choose ""No"" to either the 1st or 2nd query","By the Lords...Are you certain? Well, perhaps I was wrong. There can be only one chosen Undead. I will continue my search...You are freed from duty. But then again, you did ring the Bell of Awakening. I will stay here a while. Speak with me if you should change your mind."
110004,Frampt,"Talk-After choosing ""No"" to either the 1st or 2nd query",What brings you here? Had a change of heart about your fate as an Undead?
110005,Frampt,"Choose ""Yes"" to either the 1st or 2nd query","Very well. Then I am pleased to share. Chosen Undead. Your fate...is to succeed the Great Lord Gwyn. So that you may link the Fire, cast away the Dark, and undo the curse of the Undead. To this end, you must visit Anor Londo, and acquire the Lordvessel."
110006,Frampt,Talk-2st time,I am pleased to see you well. Is it something urgent?
110007,Frampt,"Menu-Choose ""Talk""","Those who seek the Realm of Lords must brave Sen's Fortress, a deadly house of traps. Many have gone before you, but none have returned. Fate has chosen you, but proceed with caution."
110008,Frampt,Talk-After receiving Lordvessel from the illusion of Gwynevere,"Heavens! You have done it! You have retrieved the Lordvessel! After a thousand years! It is you, it is really you! Hraaaoogggh! Hraaaoogggh! ... Forgive me. I really should calm down. Now, let us take that vessel on a journey. I assume that you are ready. Now, be still!"
110009,Frampt,After Frampt warps into the Firelink Altar for the 1st time,"This is the Firelink Chamber, for the successor of Lord Gwyn. Now, place the Lordvessel on the altar."
110010,Frampt,Talk-Before placing the Lordvessel in his presence,What is it? Place the Lordvessel on the altar. No reason for pause at this point.
110011,Frampt,Talk-After placing the Lordvessel in his presence,"Very well. As Kingseeker, I shall now instruct you, the Lord's successor, in your next task. To achieve your fate, fill the vessel with powerful souls, commensurate to the great soul of Gwyn. Scarce few possess such brilliant souls. Gravelord Nito, the Witch of Izalith, the Four Kings of New Londo, who inherited the shards of Gwyn's soul... and Lord Gwyn's former confidant, Seath the Scaleless. All of their souls are required to satiate the Lordvessel. ... Are you ready? Then we shall return. Stay still for a moment!"
110012,Frampt,"Menu-Choose ""Talk"" after placing the Lordvessel in his presence","The beings who possess these souls have outlived their usefulness, or have chosen the path of the wicked. As the primordial serpent, I implore you to defeat them, and claim their souls. Let there be no guilt; let there be no vacillation."
110013,Frampt,Talk-After filling the Lordvessel,"Ahh...ohh! The Lordvessel is satiated... Magnificent...You are the righteous successor to Gwyn, the new Great Lord. And I am Kingseeker no more... Your acquaintance was an honour. I must admit, I am fond of you humans. May you enjoy serendipity, And may the Age of Fire perpetuate."
110014,Frampt,"Menu-Choose ""Warp"" from Firelink Shrine to the Firelink Altar","Very well. Then, stay still for a moment!"
110015,Frampt,"Menu-Choose ""Warp"" from Firelink Altar to the Firelink Shrine","Are you ready? Then we shall return. Stay still, then!"
110016,Frampt,"Menu-Choose ""Leave"", or abruptly leave","Farewell. Chosen Undead. I remain here, and await thee."
110017,Frampt,After approaching his location while he is sleeping,Hmgg...Hmgg...
110018,Frampt,After being attacked while sleeping to wake him,"...Hm? No, no, I'm fine, I'm fine. Well and wide awake! Do not treat me like an old withering snake."
110019,Frampt,Upon being attacked-1st time,Hmg!
110020,Frampt,Upon being attacked-2nd time,Hrg!
110021,Frampt,Upon being attacked-3rd time,Agh!
110022,Frampt,Upon being attacked-4th time,Ooph!
110023,Frampt,Upon being attacked & made hostile,"You sorry fool...You could not be the Chosen one. Enough...I shall slumber, until I am awakened again..."
120001,Giantsmith,Talk-1st time,Who are you? Forge your weapons?
120002,Giantsmith,Talk-2nd time,"Mng. Hello. Forge, I can! Strong, I am!"
120003,Giantsmith,"Menu-Choose ""Talk"" 1st time","Talk, 'tis no good. But forge...very good! I help anytime."
120004,Giantsmith,"Menu-Choose ""Talk"" 2nd time","Talk, 'tis no good. No-one home. Everyone gone."
120005,Giantsmith,"Menu-Choose ""Talk"" 3rd time","But you, friend. You talk, I no talk, but happy."
120006,Giantsmith,"Menu-Choose ""Talk"" 4th time","You come, I forge. Shiny-shiny. Get shiny from Duke. Forge weapons, make shiny. More happy."
120007,Giantsmith,"Menu-Choose ""Talk"" 5th time","You come, I forge, we talk. You good friend. I very happy."
120008,Giantsmith,Talk-After obtaining the Crystal Ember,Mng. What's that? Shiny-shiny. Give me that. I make weapons shiny.
120009,Giantsmith,"Choose ""No"" to giving the Crystal Ember","Hmph, 'tis pity..."
120010,Giantsmith,"Choose ""Yes"" to giving the Crystal Ember","I hath shiny-shiny, I make weapons shiny!"
120011,Giantsmith,"Menu-Choose ""Leave"" without purchasing something",Cometh soon.
120012,Giantsmith,"Menu-Choose ""Leave"" after purchasing something",Cometh soon.
120013,Giantsmith,After leaving abruptly,"Mng, hmng?"
120014,Giantsmith,Talk-After leaving abruptly,Hello again.
120015,Giantsmith,Upon being attacked-1st time,Oww.
120016,Giantsmith,Upon being attacked-2nd time,"Oww, that hurts."
120017,Giantsmith,Upon being attacked & made hostile,Oi! Stop that!
120018,Giantsmith,Upon killing the protagonist,You weak.
120019,Giantsmith,Upon dying,"Angh, uggghh... Nighty-night..."
130001,Gough,Talk-1st time,"Hm? A visitor, have we? Thou must be the one who freed Artorias. An old friend he was, and thanks to thee... He left this world with honour intact. ...And here I am, retired and blind. Of little help to thee, I am afraid."
130002,Gough,Talk-After defeating Kalameet before speaking with Gough,"Hm? A visitor, have we? Thou must be the one who freed Artorias. An old friend he was, and thanks to thee... He left this world with honour intact. And I see that the great black dragon Kalameet is dusted by thine hand. Wondrously played. Lord Gwyn's blessing upon thee. I am retired, and blind. To receive a visit by one as lofty as thyself, is a great honour indeed."
130003,Gough,Talk-2nd time,"Well, thou com'st again. Thou art a strange one."
130004,Gough,Talk-3rd time,"Well, thou hast come again. This is a surprise."
130005,Gough,"Menu-Choose ""Talk"" 1st time before encountering Kalameet at his lair","If thou seeketh to explore this domain, be wary of a black dragon. I fear thee no match for this terrible beast."
130006,Gough,"Menu-Choose ""Talk"" 2nd time","Me? There is very little to be said. What good is a dog, with no hares to hunt? ...I am lucky to be alive, I suppose."
130007,Gough,Talk-After encountering Kalameet at his lair,Good morrow...Is the Black Dragon posing thee duress?
130008,Gough,"Choose ""No"" to the 1st query",...Strange. I am rarely wrong on such matters...
130009,Gough,"Menu-Choose ""Talk"" after choosing ""No"" to 1st query & resting at a Bonfire","The Black Dragon troubles you yet, I see."
130010,Gough,"Choose ""No"" after choosing ""No"" to the 2nd query","...Hmm, yes, I see. I was mistaken..."
130011,Gough,"Choose ""Yes"" to the 1st query","Yes, I thought as much. He is called Kalameet. A ferocious dragon indeed, even mighty Anor Londo dared not provoke his ire. I see little good coming from this, but... ...Thy intent is to persevere... to the bitter end, hmm?"
130012,Gough,"Choose ""No"" after choosing ""Yes"" to the 1st query",A wise choice. Why foist thyself unto the fiery maw?
130013,Gough,"Menu-Choose ""Talk"" after choosing ""No"" to 2nd query & resting at a Bonfire",...Art thou prepared to challenge great Kalameet?
130014,Gough,"Choose ""No"" to the 3rd query","Yes, surely that is best."
130015,Gough,"Choose ""Yes"" after choosing ""Yes"" to the 1st query","Hah hah hah! Good, good. What is bravery, without a dash of recklessness! I have taken a liking to thee. And I owe thee much for thy service to Artorias. Now watch, and see how Gough hunts dragons. Hrrmmm... Haah! Hah hah! Yes, a truer shot was never loosed! That bat will be grounded for a good spell! The rest is in thine hands. I await good tidings. Ahh, dragon slaying. Knighthood's highest calling..."
130016,Gough,Talk-After Gough has shot down Kalameet,"Ah, hello there. What of Kalameet? He is an ancient dragon. Skyward or no, he will not be put down easily."
130017,Gough,"Menu-Choose ""Talk"" after encountering Kalameet at his lair","The dragons shall never be forgotten... We knights fought valiantly, but for every one of them, we lost three score of our own. Exhilaration, pride, hatred, rage... The dragons teased out our dearest emotions. ...Thou will understand, one day. At thy twilight, old thoughts return, in great waves of nostalgia."
130018,Gough,"Menu-Choose ""Talk"" 1st time, after Gough has shot down Kalameet","I suspect thou hast taken a gander at it, But the Dark of the Abyss, which swallowed poor Artorias, threatens to devour our entire land of Oolacile. It seems that this dire fate is unavoidable. But, seduced by a Dark serpent or no, They awoke that thing themselves, and drove it mad. ...One's demise is always one's own making."
130019,Gough,"Menu-Choose ""Talk"" 2nd time, after Gough has shot down Kalameet","If thine wish is to succeed poor Artorias, and challenge the spread of the Dark, Then thou must face Manus, Father of the Abyss. The Dark emanates from Manus himself. Even if this land shall expire, thou may be able to prevent further corrosion. ...But even so, one day the flames will fade, and only Dark will remain. And even a legend such as thineself can do nothing to stop that."
130020,Gough,"Menu-Choose ""Talk"" 3rd time, after Gough has shot down Kalameet","Now, do not mistake my words. I cherish my work. Wood carving is a nuanced art. I would have much to talk about with that blacksmith. In truth, how is the old chap, I wonder? Still hammering away, I should hope."
130021,Gough,Talk-1st time after defeating Kalameet,"Why, thou hast defeated Kalameet! Wondrously played. Lord Gwyn's blessing upon thee. That beast will never take to the skies again."
130022,Gough,"Talk-1st time after defeating Kalameet, without Gough shot down Kalameet",I see that thou hast dusted the great black dragon Kalameet. Wondrously played. Lord Gwyn's blessing upon thee. I see that there is at least one legend among ye humans. Dear me... That old bat will never fly again.
130023,Gough,Talk-2nd time after defeating Kalameet,"Thou com'st again, legend of humans. It is always an honour to speak with thee."
130024,Gough,"Menu-Choose ""Talk"" after defeating Kalameet","Ahh, this Greatbow? I shan't need it, with no dragons to hunt. I know not if a human could even operate it, but here... Thy need outweighs mine."
130025,Gough,"Menu-Choose ""Leave"", or abruptly leave","Farewell, human. Lead thy life as thou seest fit."
130026,Gough,"Menu-Choose ""Leave"" after encountering Kalameet at his lair, or abruptly leave","Farewell, human. I await good tidings."
130027,Gough,"Menu-Choose ""Leave"" after defeating Kalameet, or abruptly leave","Farewell, proud human. May every honour be bestowed upon thee."
130028,Gough,Upon being attacked-1st time,Cease this.
130029,Gough,Upon being attacked-2nd time,"Stop it, I say."
130030,Gough,Upon being attacked-3rd time,Understand this. I wish thee no harm.
130031,Gough,Upon being attacked-4th time,Stop that!
130032,Gough,Upon being attacked-5th time,By the Gods!
130033,Gough,Upon being attacked & made hostile,"Ahh, so this is true human nature. Artorias is in your debt, but thou leavest me little choice... May you perish, for the good of all!"
130034,Gough,Upon dying,Humans...hmph...
130035,Gough,Archtree Carving,Hello Thank you Very good! I'm sorry! Help me!
140001,Griggs,After approaching the door of the building he is trapped in,"Somebody! Please, let me out of here! Somebody, anybody! Help me! Unlock the door! ...Damn... ...I'm finished... How did this ever happen..."
140002,Griggs,Talk-1st time after using the Residence Key to open the door he is locked,"Brilliant! You opened the door for me! Thank you; I am saved. I thought I might never escape. I am Griggs of Vinheim. A sorcerer of the school. I am much obliged for your assistance. Thanks to you, I may now resume my travels."
140003,Griggs,Talk-2nd time after using the Residence Key to open the door he is locked,"Oh, hello. I am fine. I will rest a while, then return to Firelink Shrine. I have my sorcery. And I will be more cautious next time. Besides, I have an important task at hand."
140004,Griggs,Upon being attacked-1st time,Ooph!
140005,Griggs,Upon being attacked-2nd time,Eeg!
140006,Griggs,Upon being attacked-3rd time,What on Earth are you...!
140007,Griggs,Upon being attacked-4th time,Cease! I implore you!
140008,Griggs,Upon being attacked & made hostile,"Curses, you leave me no choice! You aren't yourself any more. Forgive me!"
140009,Griggs,Upon dying,Rrrg... How could this...
140010,Griggs,Talk-With less than 10 Intelligence,"Oh, hello. Terrific to see us both in one piece. And pray that you never go Hollow!"
140011,Griggs,Talk-1st time with 10 Intelligence or more,"Oh, hello. I regret meeting you under such compromising circumstances. At least we both made it back unscathed. Incidentally, would you care to learn any sorceries? You're clearly talented, and besides, I owe you. Of course, we will require some materials, but I am happy to teach you some elementary spells. Are you interested?"
140012,Griggs,"Choose ""No"" after talking with 10 Intelligence or more","Yes, I see... It is regrettable, but to each his own. If you change your mind, do not be bashful."
140013,Griggs,"Talk-After choosing ""No""","Oh, hello. What is it? Have you changed your mind? I am praying that you will. For, I owe you my life."
140014,Griggs,"Choose ""Yes"" after talking with 10 Intelligence or more","Splendid! Very well! I am pleased to have a chance to give something back. Well, then let's get started straight away."
140015,Griggs,"Talk-After choosing ""Yes""","Oh, hello. Well, you certainly are keeping at it. Myself? I am fine. Let's get started straight away."
140016,Griggs,"Menu-Choose ""Talk"" 1st time","Have you heard of Big Hat Logan? Master Logan is a great sorcerer, and my teacher. Both of us came to this land, as Undead. But one day, he departed, leaving only a note. ...I suppose he wished to keep me out of harm's way. But where does that leave me? I have dedicated myself to sorcery. But Master Logan could find no use for me..."
140017,Griggs,"Menu-Choose ""Talk"" 2nd time","Ahh, yes, the note that Master Logan left? It only said he would travel to Anor Londo, by way of Sen's Fortress. I can only guess that he seeks the Regal Archives. For Master Logan is a tireless pursuer of wisdom. Wisdom trumps all; everything else is hogwash. When the curse turned him Undead, I am certain that he only felt it was the perfect chance to visit this land. I only wish that I had his courage..."
140018,Griggs,"Menu-Choose ""Talk"" 3rd time","Two things are required for sorcery. First, you must equip a wand. Second, you must attune a sorcery. Then you will be ready to fire away. Oh and don't forget to aim!"
140019,Griggs,"Menu-Choose ""Talk"" 4th time after resting at a Bonfire","I wish to do what I can to locate Master Logan. I am aware of my shortcomings, but I cannot very well just sit around here and rot. Oh, do not worry. I have considered our relationship. I will only leave after I have taught you all the sorceries that I know. I shall count myself lucky if I manage to locate Logan, or even return here in one piece."
140020,Griggs,Talk-After Rhea & company have arrived in Firelink Shrine,"Did you see them? The three young clerics... headed for the Catacombs, to seek Kindling. Kindling is the art of feeding bonfires. The poor young girl, sent down into a tomb. What a terrible mission she is burdened with."
140021,Griggs,Talk-1st time after Logan has arrived at Firelink Shrine,"Oh, hello again! I was waiting to tell you...Master Logan has returned! And he tells me that he has you to thank! Well, we are both in your debt, now. Thank you, sincerely. He's just over there. Go along and have a chat."
140022,Griggs,Talk-2nd time after Logan has arrived at Firelink Shrine,"Oh, hello. I appreciate the attention, but you really should speak to Master Logan. That will certainly do you more good."
140023,Griggs,"Menu-Choose ""Talk"" before buying sorceries from Logan",Have you spoken to Master Logan? He is an accomplished scholar. The arts of sorcery would never have come this far without his contributions. And he has the nerve to go risking life and limb! What a stubborn old fellow. Hah hah hah hah!
140024,Griggs,"Menu-Choose ""Talk"" after buying sorceries from Logan","Have you ever cast one of Logan's spells? Isn't it exhilarating? As he sees it, there are no gods, no transcendence, only truth, and Logan only wishes to elucidate it. It is this heretical methodology that allowed Logan to advance sorcery to the point that he has. In a word, he is a hero. Despite the awful rumours. Time will tell. The annals of history will prove dispassionate!"
140025,Griggs,Talk-After Logan has left for the Duke's Archives,"Oh, there you are! Just so you know... Master Logan has left on his own again. It seems that he is still determined to find the famed Regal Archives in Anor Londo. And I have decided that I must search for him."
140026,Griggs,Talk-1st time with 15 Intelligence or more after Logan has left,"I intend to search for him. Only, before I leave, there is one thing I wish to do. You see, Master Logan has left most of his books. With them, I could teach you Logan's sorcery. ...You have done much to assist me. Before I leave on this journey, I will teach you all that Logan has to share."
140027,Griggs,Talk-2nd time with 15 Intelligence or more after Logan has left,"Oh, hello, you made it! Then, let us begin. As promised, I shall bequeath Master Logan's sorcery to you."
140028,Griggs,"Menu-Choose ""Talk"" after Logan has left for the Duke's Archives","It's not that I am concerned for Master Logan's welfare. Even in this treacherous land, Logan's skills are unmatched. He is a true hero. ...No, the reason I seek Logan is... ...Well, it's really my own conceit, now isn't it?"
140029,Griggs,Talk-1st time after freeing Logan from Archive Tower,"Ohh! Master Logan is at the Archives?! Thank the heavens; finally his wish has been granted. I suppose he has his head buried in those tomes? That is always what made Master Logan happiest... Ahh, I can just imagine him now!"
140030,Griggs,Talk-2nd time after freeing Logan from Archive Tower,"Oh, hello. Why, of course I don't mind teaching you sorceries... But now that you've located Master Logan, I can't imagine that I can be of much help."
140031,Griggs,Talk-3rd time after freeing Logan from Archive Tower purchased all Griggs' items,I have decided to seek the Regal Archives. I realize that I may never make it. But I would feel worthless if I did not at least try. What other choice do I have to earn Logan's recognition?
140032,Griggs,"Menu-Choose ""Leave"" without purchasing something","Good-bye, then. Do stay safe."
140033,Griggs,"Menu-Choose ""Leave"" after purchasing something",All right. That'll do it. That should help you on your journey. May we meet again.
140034,Griggs,After leaving abruptly,Hm? What's that?
140035,Griggs,Talk-After leaving abruptly,No matter. Let us continue.
140036,Griggs,Upon being attacked-1st time,Uwwah!
140037,Griggs,Upon being attacked-2nd time,Heavens!
140038,Griggs,Upon being attacked-3rd time,In the name of sanity!
140039,Griggs,Upon being attacked-4th time,Cease! Have you gone mad!
140040,Griggs,Upon being attacked & made hostile,"Damn...you've lost it, haven't you? Then I have no choice. Prepare yourself!"
140041,Griggs,Upon dying,Rrrg... Master Logan...
150001,Gwyndolin,After approaching the Fog Gate before the tomb of Gwyn,"Halt! This is the tomb of the Great Lord Gwyn. Tarnished, it shall not be, by the feet of men. If thou art a true disciple of the Dark Sun, cast aside thine ire, hear the voice of mineself, Gwyndolin, and kneel before me."
150002,Gwyndolin,Kneel-1st time,"O Disciple of the Dark Sun. Thou hast journeyed far; hear my voice. If thou shalt swear by the Covenant, to become A shadow of Father Gwyn and Sister Gwynevere, A blade that shall hunt the foes of our Lords; Then I shalt protect thee, safeguarding thy person with the power of the Darkmoon."
150003,Gwyndolin,"Choose ""No"" to join Covenant","Very well. We shall not need speech. Exit here, and follow thine own design."
150004,Gwyndolin,"Choose ""Yes"" to join Covenant","Very well. Now thou art a Blade of the Darkmoon. Hunteth the enemies of the Lords, by the power of the Dark Sun."
150005,Gwyndolin,Kneel-1st time after joining the Blade of the Darkmoon Covenant,"Welcome back, Blade of the Darkmoon. If mine power be need'st, I shall assist thee."
150006,Gwyndolin,Kneel-2nd time after joining the Blade of the Darkmoon Covenant,"Very well, Blade of the Darkmoon. Please state thy wish."
150007,Gwyndolin,After traversing the Fog Gate,"What foolishness... Why trespasseth upon the Great Lord's tomb, whilst thou art a disciple of the Dark Sun? Mark the words of mineself, Gwyndolin! Thou shalt not go unpunished!"
150008,Gwyndolin,After traversing the Fog Gate after joining the Blade of the Darkmoon,"What foolishness... Why would a Blade of the Darkmoon trespasseth upon the Great Lord's tomb? Mark the words of mineself, Gwyndolin! Thou shalt not go unpunished!"
150009,Gwyndolin,After killing illusion of Gwynevere,Thou that tarnisheth the Godmother's image. I am Gwyndolin. And thy transgression shall not go unpunished. Thou shalt perish in the twilight of Anor Londo.
150010,Gwyndolin,After killing illusion of Gwynevere & traversing the Fog Gate,"Heretic... First thou offendeth the Godmother, and now thou see fit to trample upon the tomb of the Great Lord. I am the Dark Sun, Gwyndolin! Let the atonement for thy felonies commenceth!"
150011,Gwyndolin,Upon dying,"O Heretic, swathed in Dark... An eternal curse upon thee..."
160001,Gwynevere,After approaching Gwynevere,"Thou hast journey'd far, and overcome much, chosen Undead. Come hither, child..."
160002,Gwynevere,Kneel-1st time,"O chosen Undead. I am Gwynevere. Daughter of Lord Gwyn; and Queen of Sunlight. Since the day Father his form did obscureth, I have await'd thee. I bequeath the Lordvessel to thee. And beseech thee. Succeed Lord Gwyn, and inheriteth the Fire of our world. Thou shall endeth this eternal twilight, and avert further Undead sacrifices."
160003,Gwynevere,Kneel-2nd time,O Chosen Undead. Thou hath journey'd far.
160004,Gwynevere,"Menu-Choose ""Talk"" 1st time","Since the day Father his form did obscureth, I have await'd thee. Once living, now Undead, and a fitting heir to father Gwyn thou art, A grave and arduous test of mettle, yea, it shall be. Indeed we had felt the warmth of Fire, its radiance, and the life it sustaineth. Without Fire, all shall be a frigid and frightful Dark."
160005,Gwynevere,"Menu-Choose ""Talk"" 2nd time","Please. Father's role thou should assume, and inheriteth the Fire of our world. Thou shall endeth this eternal twilight, and avert further Undead sacrifices. Kingseeker Frampt, the primordial serpent, shall guideth thee."
160006,Gwynevere,"Menu-Choose ""Yes"" to joining the Princess Guard Covenant","Hereafter, I, Gwynevere, shall serveth as thine guardian. If thou so needest, I shalt devote all to thine safety. May thou be one with the sunlight for evermore."
160007,Gwynevere,Kneel-After filling the Lordvessel,"Magnificent...Thou hast filled the Lordvessel. Indeed, a worthy successor, thou shalt be. My patience was not for nil... I beg of thee. Succeed Lord Gwyn, and inheriteth the world's Fire. We have only thee."
160008,Gwynevere,"Menu-Choose ""Leave""","Now thou shalt go forth, chosen Undead. May thou be one with the sunlight for evermore."
160009,Gwynevere,Upon dying,Aieegh...
170001,Ingward,Talk-1st time,"Well, this is a surprise. I don't get many visitors, except for ghosts. Do you have some business here? My name is Ingward. I'm an old man, bound to these parts. But I don't mind a chat. I may even be of some help."
170002,Ingward,Talk-1st time while Cursed,"Well, this is a surprise. I don't get many visitors, except ghosts. Oh, cursed, are you? Is that what brings you to me? It is a wise choice. Your troubles will soon be over. My name is Ingward. I'm an old man, bound to these parts. But cleansing your curses; that I can do. The breaking of curses is the territory of deities. You must be prepared to give some of yourself."
170003,Ingward,Talk-2nd time,"I am the Guardian of the Seal. I watch over the Four Kings, the masters of the Darkwraiths. The Darkwraiths are the enemies of man, and any living thing that has a soul. They were born in New Londo, and that is where they perished; the entire city was sacrificed to contain them. ...For that is how great a threat they were..."
170004,Ingward,Talk-Meeting after receiving the Lordvessel,"Well, this is a surprise. I get few visitors, save for ghosts. You have...the Lordvessel. I know exactly what your intentions are. You seek the Four Kings whom I guard over. This is the key to the seal. The Four Kings slumber in the deepest chamber of the ruins. Use this key to break the seal and open the floodgates. ...Oh, and do not forget... The Darkwraiths reside in a dark void called the Abyss. But the Abyss is no place for ordinary mortals. Although long ago, the knight Artorias traversed the Abyss. If you can find him, and learn from him, the Abyss may prove surmountable."
170005,Ingward,Talk-2nd time after receiving the Lordvessel,Hello there. What is it? The key to the seal is now in your hands. I will help you in any way possible.
170006,Ingward,Talk-3nd time,Hello again. How are you?
170007,Ingward,Talk-3nd time after meeting while Cursed,"Oh, hello there. How are you? I don't mind a chat. I may even be of some help."
170008,Ingward,Talk-After leaving the New Londo Ruins and returning,"Hello, there. Where have you been? I'm glad to see you well. How can I be of assistance?"
170009,Ingward,"Menu-Choose ""Talk""","New Londo was sacrificed to contain the Darkwraiths. Mark my words. The Darkwraiths are the enemies of man, and any living thing that has a soul. They were never meant to roam again."
170010,Ingward,Talk-While Cursed for the 1st time after meeting previously,"Well, hello there. Have you been cursed? That can be quite onerous. But not to worry. Such cleansing, I am happy to administer. But the breaking of curses is the territory of deities. You must be prepared for sacrifice."
170011,Ingward,Talk-While Cursed a 2nd time after meeting previously,"Hello, there. Cursed again? I do not know whether you are brave, or just foolish, but you do seem to find your share of trouble."
170012,Ingward,Talk-After receiving the Lordvessel from the illusion of Gwynevere,"Oh, hello. You've acquired the Lordvessel, have you? Very impressive. I know exactly what your intentions are. You seek the Four Kings whom I guard over. This is the key to the seal. The Four Kings slumber in the deepest chamber of the ruins. Use this key to break the seal and open the floodgates. ...Oh, and do not forget... The Darkwraiths reside in a dark void called the Abyss. But the Abyss is no place for ordinary mortals. Although long ago, the knight Artorias traversed the Abyss. If you can find him, and learn from him, the Abyss may prove surmountable."
170013,Ingward,"Talk-After opening the Seal, after placing the Lordvessel in Frampt's presence","...You've broken the seal, have you?... ... No, I have no regrets. My trust lies with you, and Frampt. But you cannot proceed without being able to traverse the Abyss."
170014,Ingward,"Talk-After opening the Seal, if Lordvessel wasn't placed  in Frampt's presence","...You've broken the seal, have you?... ... No, I have no regrets. For I trust in you. But you cannot proceed without being able to traverse the Abyss."
170015,Ingward,"Menu-Choose ""Talk"" 1st time after opening the Seal","Long ago, the Four Kings were powerful men. Only, their hearts were weak. When an evil serpent dangled the art of Lifedrain before them, they were unable to resist, and became pawns of evil."
170016,Ingward,"Menu-Choose ""Talk"" 2nd time after opening the Seal","According to legend, the knight Artorias crossed the Abyss, and annihilatedthe atrocious Darkwraiths. If you can find him, and learn from him, the Abyss may prove surmountable."
170017,Ingward,Talk-After defeating the Four Kings,"...Magnificent. You defeated the Four Kings. Impressive, even for a bearer of the Lordvessel. And with this, my purpose is exhausted. I have not seen the sun for a long time. Perhaps I could do with a change..."
170018,Ingward,Talk-1st time,"Oh, hello. The sunlight made me wince, and now I've come back to this dark hole! So, what brings you here? I will help you in any way I can."
170019,Ingward,Talk-2nd time,"Oh, hello. What is it? I will help you in any way that I can."
170020,Ingward,Upon being attacked-1st time,What! No!
170021,Ingward,Upon being attacked-2nd time,What are you doing!
